ID,Answer
246,哈德斯菲爾德的總教練赫爾伯特·查普曼
247,據傳在與比提尼亞國王的性行為中處於被動地位
248,2001年
249,夏曼
250,溥[UNK]
251,副主席
252,決勝局必定是單數局
253,廣東省政府委員會
254,遊戲
255,1951年
256,漢語拼音方案
257,1984年
258,地面車站
259,下薩克森邦
260,法蘭西第二帝國
261,福建人
262,全勝紀錄
263,使得雷達提供的資訊能夠更快速的被運用，以提高狀態意識的掌握
264,哥白尼日心說
265,
266,袁世凱
267,明朝
268,1848年
269,1954年
270,1998年
271,共同民主黨
272,《南華早報》
273,酸性氣體，濃度低時帶惡臭
274,佛像
275,阿聯
276,交通基建
277,前線步兵師
278,
279,天狼星在東方地平線
280,自律心肌細胞喪失了收縮性，但它們和工作心肌細胞
281,1961年
282,德語地區
283,離島機場
284,1237年
285,東羅馬
286,傅亮
287,
288,美國律師協會
289,1654年
290,明代屬蒙古瓦剌部，清代
291,廣開土大王
292,胡安·林茲
293,日本
294,1998年1月1日
295,天空的角動量
296,孟懷玉
297,鈣
298,383年
299,羅納爾迪尼奧
300,苻融
301,火山活動
302,利奧三世
303,拉丁字母
304,提升飛機的飛行安全，降低因為鋼纜或者是滑輪等裝置失效導致失去控制的問題，對大型飛機相隔距離很遠的控制面也可以提高反應與效率
305,丁基羥基甲苯
306,軍事圍剿，以致爆發為期一月的中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,《南極條約》
314,1083種
315,曹魏故都智慧之旅
316,亞德港
317,布爾什維克革命
318,民主黨
319,彌爾歸納
320,紅色、藍色或綠色的視錐細胞，導致不同的色盲
321,1928年
322,期貨合約
323,十多個
324,300美元
325,楊宇霆
326,大力發展體育事業
327,元世祖
328,燃油混合動力電動自行車
329,數學
330,亞熱帶季風氣候
331,女性
332,目前沒有觀察到任何語言純[UNK]以力道來區分不同輔音
333,朱一貴
334,蓋德爾語
335,
336,銃炮
337,1961年
338,1980年代
339,凱·艾維州長
340,東漢
341,1980年
342,希伯來文
343,第四心音
344,2010年
345,武漢
346,1868年
347,托土拉島
348,英國
349,
350,1888年
351,岡底斯山脈
352,1972年
353,突厥
354,三菱重工業長崎造船廠
355,南斯拉夫人
356,管理不善的困擾，而現如今民主制度的恢復
357,硫
358,丹尼索瓦人混血
359,忽必烈
360,中國
361,2000年
362,拉直
363,俄國
364,1954年
365,韓國
366,維京戈達島、阿內加達島和約斯特范大克島
367,1964年
368,史都華
369,1910年
370,丘豆伐可汗
371,中亞新興大國花剌子模在沙阿摩訶末時期崛起，該國訛答剌地方大臣海兒汗亦納勒術前後兩次屠殺蒙古商隊並侮辱蒙古使臣
372,1958年
373,2011年
374,環境保護
375,巴爾的摩
376,中華民國政府
377,社團部
378,
379,全息照片郵票
380,孔子
381,大連路
382,2005年
383,中國對處決犯人一直採取保密的措施
384,哥白尼
385,
386,雙循環泵
387,1809年
388,德國和日本國內市場狹小而無法發展
389,民國36年
390,害怕德軍在東線戰線上沒有足夠兵力應付俄國。故此，他決定於西線調派多一些兵力到東線上應付俄軍，此決定令德軍於西線的進攻上遇到更多困難
391,較大
392,盟旗制
393,受到材料與設計的影響
394,國家起源說
395,路易·巴斯德
396,中部科學園區
397,宣統三年九月十九日
398,1991年
399,《三國史記
400,第二次工業革命
401,突厥語
402,哈雷阿卡拉國家公園
403,坎貝爾
404,8小時
405,最受歡迎女歌星
406,民國18年
407,國立廣東大學
408,亞伯拉罕
409,六億七千多萬美金
410,妖怪
411,專家
412,中文
413,礦水的酸鹼值和氧的逸度
414,非常混亂
415,阿爾泰語系
416,清太宗
417,信陽市
418,1000
419,美國空軍准將
420,質量
421,科學
422,媽祖
423,鮑德溫伯爵
424,周恩來組織
425,20餘米
426,蘇丹
427,大都督府
428,育苗
429,
430,恆星
431,那拉氏
432,辛酉政變
433,銅的礦物
434,統一企業
435,2013年1月1日
436,生物學研究
437,陳誠
438,孫中山
439,德國單獨媾和
440,德國的進出口貿易
441,中原大戰
442,1978年
443,天皇
444,1
445,英國
446,嘉義市
447,元初曾設立了都水監和河渠司，專掌水利
448,肺呼氣機制
449,五角星
450,君士坦提烏斯二世
451,航海工業和航海貿易中心
452,埃姆斯蘭高速公路
453,匿蹤性能較佳
454,
455,1919年
456,直播人類影像
457,北京路
458,盟旗制
459,臺南州
460,腓力二世
461,大陸內陸區
462,一次大戰期間
463,溫布頓網球錦標賽
464,中華人民共和國
465,保守派
466,已開發
467,全唐詩
468,1911年
469,經濟開發五年計劃
470,七年
471,荷蘭共和國和奧地利
472,貝爾實驗室
473,陳奕迅
474,吳三連
475,1918年
476,米勒
477,1月8日
478,掃雷艇部隊
479,
480,多黨制
481,民國3年
482,1952年
483,波你尼
484,東晉時期
485,飛控系統
486,光明星4號」衛星後，宣布全面中斷韓朝僅存的經濟合作項目開城工業園區
487,烏孜別克人
488,2555公里
489,國共內戰
490,高句麗聯合[UNK][UNK]
491,茲維亞德·加姆薩胡爾季阿
492,避免造成路口交通不暢
493,反艦導彈擊沉，因此攻擊水面艦艇的任務又成為驅逐艦的重要任務。燃氣輪機
494,荀子
495,清朝
496,
497,雙北合作交流平台
498,將傳統的靜穩定推向靜不穩定設計
499,中國政法大學
500,瓜拿納
501,當時防空海報
502,鈉鹽
503,古代
504,民國4年12月25日
505,西格里
506,
507,社會主義最終實現共產主義
508,貝爾根
509,太白
510,朱棣
511,
512,低稅賦
513,小選舉區制
514,科索沃
515,抗議活動
516,自由放任
517,綠色工業
518,四年
519,段祺瑞
520,喬治
521,新店
522,1925年
523,蝸頂
524,1960年代
525,美元交易中間價
526,小型雷達測距儀追蹤目標的距離
527,2002年
528,天然氣
529,海外進行軍事冒險
530,第二個用戶儲存頁面同一段落的編輯，之後當第一個用戶嘗試儲存網頁時，就會出現編輯衝突
531,整理遺產
532,沒有兩性的分化，在同一個生物體中可能同時有雄性及雌性的生殖器官
533,經濟建設
534,《中華民國臨時約法
535,香港傳統粥店
536,愛國教育
537,帕吉勒提河
538,西南美麗的地方
539,天」的至高無上
540,開羅
541,1932年
542,榮茂
543,1955年
544,多倫多運輸局在多市範圍內提供公共運輸服務，是北美洲繼紐約市和墨西哥城後第三大市營公交系統。運輸局
545,古羅馬共和時期的元老院的榮譽職銜，後經屋大維所創建的元首制度中，該職銜即是歷史俗稱羅馬皇帝的正式稱呼。公元前一世紀
546,柵欄
547,1898年
548,
549,查爾斯
550,藥葛羅
551,健康寫實電影
552,1956年7月
553,矮星
554,新生代
555,伊爾庫茨克國立大學
556,鐵木真
557,32753人
558,1789年
559,兩個
560,永康方巖
561,日占時期
562,金正恩
563,屈萬祥
564,總兵官
565,阿普列尤斯
566,哈大客運專線
567,漢風魏韻
568,自然科學
569,反文化運動
570,英國
571,趙翼
572,轟炸機
573,小型雷達測距儀追蹤目標的距離，協助飛行員找到最佳射擊時機，提高一般飛行員的命中率
574,義大利
575,中世紀
576,耳蝸核
577,刺史
578,18個
579,至元二十九年
580,自由派
581,
582,陶瓷
583,1980年代
584,比利時
585,法屬路易斯安那
586,1918年
587,甘肅省
588,9年
589,特洛依
590,1941年2月1日
591,101公里
592,國務院常務會議
593,低倍率
594,喬治亞共和國
595,1943年
596,
597,足式臀位
598,聯邦制
599,韓國
600,氯仿
601,希臘
602,瀕危物種
603,越戰
604,公民權
605,冷氣
606,極端大陸性氣候
607,金華
608,1928年
609,定向天線
610,霍布斯
611,1897年
612,中山盛產海鹽
613,中國人民銀行籌備處
614,市場分析
615,滬寧鐵路
616,2005年
617,家庭喜劇片
618,
619,婦女
620,反對建文帝削藩
621,
622,
623,社會民主黨，9位來自自由民主黨
624,傳播色情
625,電穿孔細胞
626,
627,第五區
628,法國也曾經與瑞士僱傭兵建立合同，組建了隸屬法國
629,1982年
630,漢武帝
631,湖南地區是錦江以南全羅南道和全羅北道
632,譴責外蒙古企圖分裂中華民國
633,義大利
634,西方文明開始衝擊朝鮮半島
635,東晉常[UNK]
636,1936年
637,預言
638,非商用
639,五桂山
640,日本竹[UNK]魚
641,嘉義市
642,農業
643,29個
644,民國29年
645,10月23日
646,人傳
647,漢字詞
648,第二次世界大戰
649,5000噸級
650,君士坦丁堡
651,2015年年底前
652,古漢語
653,22年
654,伊薩克
655,阿拉里克
656,岡瓦那大陸
657,1937年
658,1964年
659,高麗
660,油氣開發
661,外太空
662,明孝宗
663,阿圖什
664,第一區
665,1925年
666,照射紫外線
667,九一八事變
668,春秋
669,史前人類宗教信仰和習俗的總稱。更具體的，包括舊石器時代、中石器時代、新石器時代和青銅時代的宗教。西方殖民主義興起後，殘存於近代原始部落的原住民宗教
670,
671,1978年
672,楚雄彝族自治州
673,日本領土。1679年，松前藩在庫頁島的久春古丹建造臨時性的漁民居住所，並開始與當地愛努族居民進行貿易。1689年，清朝與沙皇俄國簽定尼布楚條約
674,中央窩
675,哈里發
676,殖民主義
677,奧德
678,6萬平方千米
679,2000公厘
680,人民勞動的積極性
681,麥克萊倫將軍卻與原先設定的溫和派政策不合，結果大多數好戰派民主黨人都投給了林肯。1865年內戰結束後不久，林肯遇刺身亡，其副總統安德魯約翰遜繼任總統，雖然約翰遜
682,赤城鎮政府街1號
683,內層的漿膜心包和外層的纖維心包
684,羅非魚
685,潘普洛納
686,法國
687,1848年
688,《臺灣府志》
689,杜林
690,第265任
691,一盤中戰至6比6
692,39年
693,河南省郵電印刷廠
694,傑伊條約
695,超新星
696,全斗煥
697,2007年
698,特洛依
699,索馬利亞政府司法
700,382年
701,軍隊編制問題
702,閩粵居民
703,韓國
704,1980年代
705,何韻詩
706,1923年
707,畢達哥拉斯
708,2009年
709,湘西土家族苗族自治州
710,袁術
711,不含可可鹼
712,佛像最廣為流傳。早期的寺院和石雕都是印度西域風格，面相豐盈，肢體肥壯，表現莊嚴。自東晉
713,李定國
714,22條
715,公共健康與醫學領域
716,《新基本法令
717,1962年
718,太宗即位
719,
720,奧匈帝國
721,匈奴帝國
722,白矮星
723,咖啡因中毒
724,[UNK]騎大將軍司馬元顯下令討伐荊州刺史桓玄，並以劉牢之為前鋒。桓玄率軍兵臨建康時，劉裕請求進攻，但劉牢之不肯，反而想叛歸桓玄。劉裕當時與何無忌
725,階梯狀
726,漳州人
727,6個小時
728,1866年
729,憲法
730,嚴濟慈
731,90年代
732,金日成
733,第5
734,吉爾·德·萊斯
735,波吉亞家族，誕生於西班牙瓦倫西亞
736,1787年
737,王保保從不理會，被朱元璋
738,復仇之名向孫權發動夷陵之戰。孫權先向曹丕稱臣，被封為吳王，都武昌，以避免兩線作戰
739,1898年
740,守舊派
741,中華人民共和國
742,端敬王后
743,中生代
744,約瑟普•布羅茲•狄托
745,中國共產黨
746,從未修改國會選區
747,抑制人口增加而實行的計劃生育
748,
749,中華人民共和國國務院
750,維多利中心的福建社團聯會
751,1.994公里/秒
752,嚇阻鳥群的稻草人
753,推行反共政策
754,5～8％
755,日本
756,分子雲內部
757,鮮卑部落
758,鮑德溫伯爵
759,1918年3月22日復職。同年
760,1939年
761,東三省陸軍講武堂
762,巴黎條約
763,1970年
764,
765,乾燥
766,格拉喀喇可汗
767,
768,出設兩個分組賽階段的資格賽賽制
769,周昂駿
770,民國16年
771,13世紀
772,三監之亂
773,周恩來
774,馬略
775,至元十三年
776,妖怪
777,60年代
778,圖西族
779,聖餐持紀念說
780,自殺罪
781,三國史記
782,木星
783,長沙太守
784,
785,2002年
786,上海
787,比利時
788,濃硫酸
789,科學
790,兄弟國的盟約
791,1982年
792,硫
793,1979年
794,義大利
795,農業
796,卡拉恰伊湖被世界觀察研究所定為地球上「污染之最」，在二十世紀五十到六十年代成為蘇聯垃圾場。第二個地點為俄羅斯
797,趙昀
798,
799,南京市
800,共和黨
801,百濟
802,二戰的爆發
803,1976年
804,上海
805,1949年
806,麻省理工學院
807,婚姻制度由群婚轉向對偶婚，形成了比較確定的夫妻關係
808,第二次義大利衣索比亞戰爭
809,布列斯特-立陶夫斯克條約
810,1449年
811,1986年
812,隆武帝
813,第一次世界大戰
814,叔敖
815,三千年豔屍記》
816,雙汗制
817,保祿六世
818,民權運動，與一系列守舊的反聯邦政治行動。戰後，南方被美國實行半軍事管制
819,中華全國體育協進會改為中華全國體育總會
820,極端的情形是由恆星自轉
821,少林足球》
822,1956年
823,《產假和保護婦女兒童權利法》
824,投資環境轉差
825,中華民國國軍
826,
827,人民頻繁的遷移
828,公元7世紀
829,網際網路版權問題的存在，往往被禁止的作品可以在網上免費收看
830,保證共和派控制國民議會，阻止保王派復辟
831,匈牙利
832,1979年
833,
834,寧都會議
835,西區門戶計畫」、捷運機場線等國際工程實施
836,太陽
837,
838,文化人類學
839,1987年
840,同志收養子女
841,海河流域。東部主要有松溪河、清漳河、濁漳河；西部主要有瀟河、烏馬河、昌源河、惠濟河、龍鳳河、靜升河。汾河
842,關漢卿
843,張學良
844,陳平順
845,主序帶
846,厄德
847,整個站體都位於天橋上的車站
848,1955年
849,中國代表權變更問題
850,青銅時代
851,足利義昭
852,朝鮮白頭山
853,德國人
854,2014年
855,羅馬帝國
856,重力
857,路加是希臘人
858,生物演化
859,1987年
860,韓國
861,王孝通
862,大英
863,法文老師
864,阿瓦魯阿
865,廉興
866,基因特質
867,印地語
868,托勒密和哥白尼
869,康熙帝
870,秧苗長高約八公分
871,13小時
872,民國43年
873,地質類學科
874,北京物理所任研究員，方勵之調北京天文臺
875,咖啡因
876,瓦倫斯
877,2000年6月與金正日
878,一日生活圈」變成了「半日生活圈
879,美西戰爭
880,尊漢思想
881,蒂羅爾
882,宙斯
883,位於風景區外圍及重要公路旁的便利商店還提供顧客臨時停車位及廁所
884,1910年革命
885,鎬京
886,蒙漢通婚
887,杜慧度
888,憲政改革
889,英國
890,斯塔福德郡
891,義熙十四年
892,劉少奇
893,2002年
894,初中3年，高中3年
895,人類想像與傳說
896,東德使館
897,2008年人口數字為1707983人，都市圈人口大約2785000人。城市面積512平方公里，都市圈面積12266平方公里。冷戰時期
898,1989年
899,黑洞
900,天然地
901,馬可波羅
902,新羅馬
903,上海鐵路局
904,中國人民銀行
905,《倫敦條約》
906,德語聖經
907,生育自主權
908,大質量的恆星燃燒燃料的速度
909,加拿大軍隊
910,120天
911,1950年代
912,文藝復興運動
913,行為不檢點
914,文藝復興式
915,楚州人
916,1590年
917,1989年
918,出發
919,民主德國廣播電台
920,最遙遠
921,1584年
922,馬可·波羅遊記》中描繪出元朝中國的繁華景象
923,丹尼爾·邁耶
924,新奇科幻
925,2000年
926,67個
927,12月7日
928,1884年
929,義大利拉帕洛
930,黑龍江
931,私立大學
932,歐登堡
933,早期韓國華僑的聚集所在
934,李[UNK]
935,林紹良
936,汪大淵
937,漢字詞在數量上要占到韓語詞彙一半以上。外來語是指從中國以外的其他國家借鑑過來的詞語，以英語
938,[UNK]稻
939,宋真宗
940,120%，同年齡段女性的自殺率只有33
941,茂文·李洛埃
942,9月
943,其副汗或小汗多帶有伊利的的稱號
944,唐德剛
945,路易十四
946,韓國
947,0.07個
948,閩南人
949,28年
950,李煥之
951,昆明城巴
952,海膽卵細胞受精作用的研究顯示，精子的細胞核會進到卵子
953,石排灣
954,正教
955,八角鼓
956,歐洲鋼鐵產量會下降
957,文化大革命
958,1642年
959,徐載弼
960,庫里勒台大會由其子貴由
961,匈奴人
962,芝加哥大學
963,船業
964,射擊斷續器
965,紐格威森林
966,2012年
967,斐迪南·德·雷賽布
968,
969,166年
970,香港天文台
971,市場經濟
972,1963年
973,亞歷山大六世
974,1789年
975,天安門廣場集會
976,70年代初
977,1958年
978,各國佔地不大，但往往分置許多州，以致州境縮小。並且將自己沒有統治的州郡也常常在境內設置，例如前趙將幽州設在北地郡，後秦將冀州設在蒲板，南燕將徐州設在莒縣等。由於一些國家採胡漢分治的制度
979,涵元門
980,趙翼
981,漢文
982,12次
983,科學社會學
984,1138公頃
985,《中華人民共和國村民委員會組織法》
986,荷蘭
987,聯合國專家
988,打破香港華語片票房紀錄
989,內陸地區
990,國大黨
991,白[UNK]紀滅絕事件
992,權色交易
993,異端邪說
994,1252年
995,元朝
996,1932年
997,1972年
998,鐵製蒸汽船
999,文森特
1000,環境保護主義
1001,詹姆士·麥迪遜
1002,1946年
1003,
1004,
1005,1982年12月8日
1006,甘迺迪政府學院
1007,太陽
1008,修道主義
1009,1999年
1010,亞歷山大漢密爾頓
1011,中國大陸
1012,1959年
1013,黨委員長
1014,紐約尼克
1015,普通郵戳
1016,合肥
1017,100
1018,第二代戰鬥機
1019,匈奴
1020,9月2日
1021,中國
1022,工程化核酸酶
1023,伊薩克二世
1024,馬克西米安
1025,外部刺激
1026,麥克阿瑟
1027,清朝官員貪污頻繁
1028,武漢行營副主任
1029,躲避戰亂
1030,朝鮮半島
1031,64%
1032,狄拉克
1033,落實外交政策
1034,1823年
1035,漢字詞
1036,寧都會議
1037,舊石器時代
1038,166年
1039,荀子
1040,集團軍
1041,半日制學堂
1042,嚴重妨礙了公民的知情權
1043,愷撒
1044,朝鮮語
1045,倫敦霍洛威
1046,佛教
1047,烏爾蘇拉
1048,1964年
1049,南方超大陸岡瓦那大陸
1050,維持現狀
1051,挪威
1052,越戰
1053,令拿破崙蒙羞
1054,南華縣
1055,英國
1056,李紳
1057,路面電車
1058,四帝共治制
1059,1060公釐
1060,1939年
1061,唐軍
1062,劉表
1063,慶元
1064,北平綏靖公署主任張學良轉任軍事委員會北平分會副委員長
1065,民法法系、大陸法系、市民法、羅馬法系、法典法系、羅馬日爾曼法系
1066,石油危機
1067,
1068,峽灣
1069,1920年
1070,硫代硫酸氨
1071,《金雲翹傳》
1072,89萬人
1073,1910年
1074,1627年
1075,區域性污染
1076,羅德城
1077,唐生智
1078,夏季
1079,臺灣新北地方法院
1080,戴克里先
1081,士丁尼於6世紀
1082,
1083,甘肅省
1084,決勝局
1085,1
1086,義大利耶穌會
1087,一個
1088,破四舊
1089,三次
1090,
1091,俗語同時共存，而俗語
1092,張學良任旅長，郭松齡
1093,爆炸性
1094,邊督辦公署
1095,明朝時期
1096,1968年
1097,反潛
1098,1932年
1099,吉田定房
1100,世稱恭順
1101,河川
1102,抗日戰爭
1103,財產資格限制
1104,南越國
1105,汗位取得不合法
1106,奧東·德拉羅什
1107,灣仔北
1108,帕塔普斯科河
1109,1945年
1110,義熙十一年
1111,政府資助研究項目
1112,芬蘭的赫爾辛基
1113,《男人四十》
1114,羅馬帝國
1115,1801年
1116,辛亥革命
1117,邱行湘
1118,合會朱陸
1119,傑弗里·德維爾阿杜安
1120,阿拉伯半島
1121,塞爾維亞反對黨
1122,加州尤巴城
1123,君主
1124,天下人
1125,外蒙古
1126,現代黑客
1127,朱序
1128,匯率波動頻繁
1129,政府工作報告
1130,1992年
1131,康拉德·阿登納
1132,山東半島
1133,聖奧古斯丁
1134,公元185年
1135,弱勢群體
1136,大正天皇
1137,天使路
1138,中國歷代
1139,義輝
1140,林肯得以主導戰爭
1141,中華人民共和國衛生部
1142,伊斯蘭教蘇菲派一神論
1143,斯拉夫人
1144,第4
1145,聯邦制
1146,1799年
1147,加勒比海地區，處於波多黎各
1148,瑞士蘇黎世州
1149,七月初四
1150,英國
1151,76間
1152,
1153,1948年
1154,分散了泛國民黨支持者的票源
1155,2次
1156,秧苗
1157,七個
1158,劉少奇
1159,卡加梅
1160,93位
1161,天城體
1162,2010年
1163,財務分析
1164,自然，而羅馬文化崇尚什麼?[SEP]為它畢竟是羅馬社會的產物，其採用的語言是拉丁語。在西方學術界，古羅馬文學被認為是廣義的拉丁文學的一部分。與古希臘海洋民族不同，古羅馬屬於內陸民族，主要以耕牧
1165,海軍中尉
1166,德川家康
1167,空射火箭
1168,1836年
1169,敘利亞
1170,上海
1171,德里克·羅勃茲因
1172,伊斯蘭教
1173,太空船地球號
1174,哥廷根亨德爾國際音樂節
1175,滬昆高速公路
1176,分娩，特指胎兒脫離母體成為獨立存在的個體的這段時期和過程。分娩的全過程共分為3期，也稱為3個產程。第一產程，即宮口擴張期
1177,
1178,歐德謨
1179,本頓
1180,通州張家灣
1181,傳統儒家思想
1182,東北抗日義勇軍軍歌
1183,廣州
1184,聽診器
1185,為現代城市塑造了輪廓
1186,唯泰主義
1187,1993年
1188,海峽兩岸服務貿易協議
1189,兀良哈三衛蒙古各部，為了獲得大寧地區的駐牧權，聯合了當時頗為強大的阿速特部首領阿魯台
1190,自由主義
1191,1874年
1192,聲音引起基底膜的波動
1193,日式西點
1194,
1195,河東道
1196,[UNK]++
1197,希波丹姆
1198,熱帶稀樹草原
1199,韓國
1200,太原組織
1201,63個
1202,46公里
1203,十六世紀
1204,帕多瓦大學
1205,
1206,吉隆坡
1207,1891年
1208,漢族
1209,發展局
1210,埃歐最明亮極光
1211,北京電視台
1212,[UNK]州縣實際解散
1213,十月革命
1214,英國
1215,美國大學協會
1216,中國教育
1217,
1218,開京
1219,美國大蕭條時期
1220,解決元成宗時期的財政危機
1221,伊薩克二世和阿列克修斯四世索取報酬，以繼續東征。但二位皇帝兩手空空，既沒有錢來還願，也沒有辦法去弄錢，萬般無奈下，伊薩克
1222,明文
1223,蔣介石
1224,全印穆斯林聯盟
1225,受通古斯人壓力
1226,喇嘛教
1227,鎌倉時代
1228,太陽
1229,建設中國特色社會主義
1230,劉裕
1231,基督教
1232,鮑德溫
1233,佛教
1234,周代
1235,東正教
1236,臺北市
1237,鄧小平
1238,總統
1239,武陵
1240,殺蟲
1241,法國大革命
1242,自由韓國黨
1243,
1244,二十世紀
1245,消極防禦戰略
1246,紫外線
1247,1898年
1248,義大利汽車之都
1249,
1250,自律心肌細胞
1251,提供鐵路列車動力
1252,聖喬治拉丁文學校
1253,23年
1254,1948年12月1日
1255,武宗系
1256,
1257,魏博拉盧比民達行業工會
1258,山背文化
1259,基本差異
1260,尚吉巴
1261,瓊州海峽
1262,安德魯約翰遜
1263,普林斯頓大學
1264,83年
1265,釣魚台國賓館
1266,伊達政宗
1267,解釋恆星內部和恆星演化的模型被成功的發展出來
1268,民國15年
1269,中銀監
1270,潘章
1271,約翰·莫根
1272,臺灣
1273,第二代
1274,日美神奈川條約
1275,北京市
1276,二氧化硫
1277,哈利里德
1278,低可偵測性
1279,柏拉圖
1280,波蘭人
1281,千島湖事件
1282,英祖四年
1283,改良式腳踏車
1284,我們說相聲
1285,二人對弈
1286,1880年
1287,已開發國家
1288,八月
